Federal_unit,Gender,Age,Color,Income,Years_of_study
11,2,23,8,800,12
11,4,23,2,1150,12
11,4,35,8,880,15
11,2,46,2,3500,06
11,4,47,8,150,09
11,4,34,8,790,12
11,2,57,8,3150,12
11,4,60,8,1700,12
11,4,50,4,1800,14
11,2,26,8,1150,12
11,4,46,8,3000,12
11,4,49,8,2500,06
11,4,52,2,1200,06
11,2,38,8,2000,12
11,2,45,2,2000,12
11,2,34,2,6000,16
11,4,43,8,1050,10
11,2,53,8,7000,16
11,2,57,2,2000,12
11,4,62,8,1150,12
11,2,69,8,3030,01
11,4,41,8,4000,16
11,2,34,8,788,05
11,2,25,8,1000,12
11,2,33,8,800,09
11,4,44,8,788,05
11,2,33,2,1600,16
11,2,65,2,1700,12
11,2,33,8,2000,14
11,2,32,8,2400,12
11,2,43,8,3000,05
11,2,30,8,920,01
11,2,26,2,1300,10
11,2,52,2,2000,15
11,2,62,8,1300,01
11,2,64,6,600,05
11,2,31,8,1200,07
11,2,63,2,1000,03
11,4,40,2,1000,09
11,2,34,2,900,07
11,2,33,8,900,06
11,4,40,8,300,02
11,2,41,8,1600,06
11,2,28,2,1500,10
11,4,32,8,750,12
11,2,44,2,800,01
11,4,38,2,3600,12
11,2,41,2,1500,04
11,2,62,8,3000,08
11,2,37,8,2300,07
11,2,41,2,1500,12
11,2,41,8,4500,12
11,4,46,2,4800,16
11,4,46,8,900,12
11,4,45,2,400,07
11,2,60,8,1050,02
11,4,38,8,850,07
11,4,32,8,650,12
11,4,39,8,300,06
11,4,49,8,900,05
11,4,34,2,1000,11
11,4,38,8,970,08
11,4,36,4,1000,12
11,4,45,2,600,07
11,2,49,4,1000,10
11,4,44,4,800,10
11,2,56,2,200,06
11,2,33,8,1400,04
11,2,27,2,2500,12
11,2,49,2,3000,04
11,2,57,8,1100,02
11,2,41,8,2000,17
11,2,39,2,1400,11
11,2,23,8,788,05
11,2,39,8,1400,09
11,2,35,4,1000,04
11,2,30,8,600,04
11,2,35,8,788,04
11,2,36,2,500,04
11,2,37,8,1500,04
11,2,60,4,1400,01
11,2,38,2,600,09
11,2,43,2,800,09
11,2,42,2,1200,09
11,2,51,2,2500,09
11,4,33,8,1200,12
11,2,46,2,2000,01
11,4,29,4,1300,15
11,2,40,8,800,09
11,4,46,8,550,01
11,2,25,2,975,06
11,2,32,8,1500,05
11,2,40,2,1200,12
11,2,26,4,1145,09
11,4,49,8,1200,01
11,2,37,8,1500,09
11,2,24,4,1200,12
11,4,40,8,850,09
11,2,39,8,1200,10
11,2,39,8,900,11
11,2,41,8,1200,02
11,2,36,8,2500,09
11,4,37,8,400,11
11,2,28,4,1100,12
11,2,32,2,1200,12
11,2,24,4,2500,12
11,2,39,2,4000,14
11,2,33,2,2500,16
11,4,49,8,788,06
11,2,37,2,2000,12
11,2,35,4,788,12
11,4,55,8,380,09
11,2,24,8,836,12
11,2,34,8,1250,15
11,2,27,2,1325,12
11,2,50,2,1550,08
11,2,53,6,1800,08
11,2,67,4,1500,01
11,2,52,2,20000,12
11,2,42,8,3000,05
11,4,66,2,1600,01
11,2,47,2,788,04
11,2,60,8,1400,09
11,2,29,2,580,11
11,2,55,2,1500,05
11,2,55,2,1000,05
11,2,56,2,100,05
11,2,51,2,1000,04
11,4,25,8,390,12
11,2,49,8,788,03
11,2,61,4,1800,04
11,4,54,8,400,01
11,2,37,8,1500,07
11,2,39,2,2000,09
11,2,52,2,350,05
11,2,48,2,1600,02
11,2,40,8,1600,08
11,2,73,2,1000,01
11,2,49,2,788,03
11,2,45,8,3000,16
